omic	mat_name	EG_num	direction	name
MG	fun.C_name	EG4	up	Glycosaminoglycan degradation
MG	fun.C_name	EG4	up	Other glycan degradation
MG	fun.C_name	EG4	up	Metabolism of xenobiotics by cytochrome P450
MG	fun.C_name	EG4	up	alpha-Linolenic acid metabolism
MG	fun.C_name	EG4	up	D-Glutamine and D-glutamate metabolism
MG	fun.C_name	EG4	up	Drug metabolism - cytochrome P450
MG	fun.C_name	EG4	up	Retinol metabolism
MG	fun.C_name	EG4	up	Primary bile acid biosynthesis
MG	fun.C_name	EG4	down	D-Alanine metabolism
MG	fun.C_name	EG4	down	Lipoarabinomannan (LAM) biosynthesis
MG	fun.C_name	EG4	down	Acarbose and validamycin biosynthesis
MG	fun.C_name	EG4	down	Biosynthesis of secondary metabolites - unclassified
MG	fun.C_name	EG4	down	Steroid biosynthesis
MG	fun.C_name	EG4	down	Isoquinoline alkaloid biosynthesis
MG	fun.C_name	EG4	down	Ether lipid metabolism
MG	fun.C_name	EG4	down	Arachidonic acid metabolism
MG	fun.C_name	EG5	up	D-Alanine metabolism
MG	fun.C_name	EG5	up	Glycosaminoglycan degradation
MG	fun.C_name	EG5	up	Other glycan degradation
MG	fun.C_name	EG5	up	Purine metabolism
MG	fun.C_name	EG5	up	Phenylalanine, tyrosine and tryptophan biosynthesis
MG	fun.C_name	EG5	up	Propanoate metabolism
MG	fun.C_name	EG5	up	Methane metabolism
MG	fun.C_name	EG5	up	Benzoate degradation
MG	fun.C_name	EG5	down	Primary bile acid biosynthesis
MG	fun.C_name	EG5	down	Ether lipid metabolism
MG	fun.C_name	EG5	down	Arachidonic acid metabolism
MG	fun.C_name	EG5	down	Cyanoamino acid metabolism
MG	fun.C_name	EG5	down	Naphthalene degradation
MG	fun.C_name	EG5	down	Phenylpropanoid biosynthesis
MG	fun.C_name	EG5	down	Lipoarabinomannan (LAM) biosynthesis
MG	fun.C_name	EG5	down	Tropane, piperidine and pyridine alkaloid biosynthesis
MG	fun.C_name	EG6	up	Other glycan degradation
MG	fun.C_name	EG6	up	Biosynthesis of secondary metabolites - unclassified
MG	fun.C_name	EG6	up	Primary bile acid biosynthesis
MG	fun.C_name	EG6	up	Retinol metabolism
MG	fun.C_name	EG6	up	alpha-Linolenic acid metabolism
MG	fun.C_name	EG6	up	Metabolism of xenobiotics by cytochrome P450
MG	fun.C_name	EG6	up	Ethylbenzene degradation
MG	fun.C_name	EG6	up	Chloroalkane and chloroalkene degradation
MG	fun.C_name	EG6	down	Glycosaminoglycan degradation
MG	fun.C_name	EG6	down	Lipoarabinomannan (LAM) biosynthesis
MG	fun.C_name	EG6	down	Acarbose and validamycin biosynthesis
MG	fun.C_name	EG6	down	Cyanoamino acid metabolism
MG	fun.C_name	EG6	down	Steroid biosynthesis
MG	fun.C_name	EG6	down	Ether lipid metabolism
MG	fun.C_name	EG6	down	Arachidonic acid metabolism
MG	fun.C_name	EG6	down	Biosynthesis of vancomycin group antibiotics
MG	fun.C_name	EG9	up	Metabolism of xenobiotics by cytochrome P450
MG	fun.C_name	EG9	up	Chloroalkane and chloroalkene degradation
MG	fun.C_name	EG9	up	Ethylbenzene degradation
MG	fun.C_name	EG9	up	alpha-Linolenic acid metabolism
MG	fun.C_name	EG9	up	Retinol metabolism
MG	fun.C_name	EG9	up	Isoquinoline alkaloid biosynthesis
MG	fun.C_name	EG9	up	D-Glutamine and D-glutamate metabolism
MG	fun.C_name	EG9	up	D-Alanine metabolism
MG	fun.C_name	EG9	down	Other glycan degradation
MG	fun.C_name	EG9	down	Ether lipid metabolism
MG	fun.C_name	EG9	down	Arachidonic acid metabolism
MG	fun.C_name	EG9	down	Acarbose and validamycin biosynthesis
MG	fun.C_name	EG9	down	Primary bile acid biosynthesis
MG	fun.C_name	EG9	down	Chlorocyclohexane and chlorobenzene degradation
MG	fun.C_name	EG9	down	Naphthalene degradation
MG	fun.C_name	EG9	down	Lipoarabinomannan (LAM) biosynthesis
MG	fun.C_name	EG11	up	Arachidonic acid metabolism
MG	fun.C_name	EG11	up	Primary bile acid biosynthesis
MG	fun.C_name	EG11	up	Naphthalene degradation
MG	fun.C_name	EG11	up	D-Alanine metabolism
MG	fun.C_name	EG11	up	Biosynthesis of enediyne antibiotics
MG	fun.C_name	EG11	up	Styrene degradation
MG	fun.C_name	EG11	up	Glycosaminoglycan degradation
MG	fun.C_name	EG11	up	Retinol metabolism
MG	fun.C_name	EG11	down	Ether lipid metabolism
MG	fun.C_name	EG11	down	Chlorocyclohexane and chlorobenzene degradation
MG	fun.C_name	EG11	down	Ethylbenzene degradation
MG	fun.C_name	EG11	down	Chloroalkane and chloroalkene degradation
MG	fun.C_name	EG11	down	Drug metabolism - cytochrome P450
MG	fun.C_name	EG11	down	Taurine and hypotaurine metabolism
MG	fun.C_name	EG11	down	Steroid hormone biosynthesis
MG	fun.C_name	EG11	down	Lipoic acid metabolism
MG	fun.C_name	EG12	up	Chlorocyclohexane and chlorobenzene degradation
MG	fun.C_name	EG12	up	Isoquinoline alkaloid biosynthesis
MG	fun.C_name	EG12	up	Biosynthesis of vancomycin group antibiotics
