".model","date","value","real.value"
"arima3",2011 W12,N(-0.18, 0.00097),-0.169014870694183
"arima3",2011 W13,N(-0.17, 0.00097),-0.146442501317604
"arima3",2011 W14,N(-0.17, 0.00097),-0.144589814886932
"arima3",2011 W15,N(-0.13, 0.00097),-0.190235361559586
"arima3",2011 W16,N(-0.11, 0.00097),-0.0493078096479315
"arima3",2011 W17,N(-0.069, 0.00097),-0.082548506588248
"arima3",2011 W18,N(-0.046, 0.00097),-0.0697408937684572
"arima3",2011 W19,N(-0.031, 0.00097),-0.0953470439093733
"arima3",2011 W20,N(-0.02, 0.00097),-0.00618667933397055
"arima3",2011 W21,N(0.0076, 0.00097),0.0491357372477295
"arima3",2011 W22,N(0.0088, 0.00097),0.0368112720287817
"arima3",2011 W23,N(0.07, 0.00097),0.0731046541032759
"arima3",2011 W24,N(0.066, 0.00097),0.0713011859423452
"arima3",2011 W25,N(0.13, 0.00097),0.141234541769211
"arima3",2011 W26,N(0.14, 0.00097),0.169426787200578
"arima3",2011 W27,N(0.14, 0.00097),0.12014275465967
"arima3",2011 W28,N(0.14, 0.00097),0.14066060447877
"arima3",2011 W29,N(0.15, 0.00097),0.16117845429787
"arima3",2011 W30,N(0.17, 0.00097),0.18169630411697
"arima3",2011 W31,N(0.17, 0.00097),0.20221415393607
"arima3",2011 W32,N(0.17, 0.00097),0.227940245077764
"arima3",2011 W33,N(0.15, 0.00097),0.200141441775605
"arima3",2011 W34,N(0.14, 0.00097),0.17346093483835
"arima3",2011 W35,N(0.13, 0.00097),0.146780427901095
"arima3",2011 W36,N(0.15, 0.00097),0.147278628738253
"arima3",2011 W37,N(0.13, 0.00097),0.198771466221104
"arima3",2011 W38,N(0.13, 0.00097),0.13665224241804
"arima3",2011 W39,N(0.14, 0.00097),0.0745330186149755
"arima3",2011 W40,N(0.15, 0.00097),0.146926558647457
"arima3",2011 W41,N(0.13, 0.00097),0.18953054749365
"arima3",2011 W42,N(0.15, 0.00097),0.172008309734092
"arima3",2011 W43,N(0.16, 0.00097),0.154486071974535
"arima3",2011 W44,N(0.18, 0.00097),0.136963834214978
"arima3",2011 W45,N(0.2, 0.00097),0.0903993680970486
