"signal","Train","Test","Train_significative","Test_significative"
"S1",0.609507463680895,1,0,0
"S2",1,0.00235566764912277,0,1
"S3",0.868660871314394,2.62260437011719e-06,0,1
"S4",1,1,0,0
"S5",0.722257248631674,0.00861029114042009,0,1
"S6",1.71736109680575e-14,0.0829828156365288,1,0
"S7",1,0.370905923464942,0,0
"S8",0.154031962162602,2.79328179737878e-05,0,1
"S9",0.201972898115281,0.838365123858527,0,0
"S10",0.0106007546021686,9.5367431640625e-07,0,1
"S11",0.386885351075275,0.00150346755981445,0,1
"S12",0.772756031611775,2.62260437011719e-06,0,1
"S13",0.841838640458297,0.000157356262207031,0,1
"S14",0.151762695009095,1,0,0
"S15",0.688483532643762,1.81198120117187e-05,0,1
"S16",1,6.98320449344695e-05,0,1
"S17",1,0.838365123858527,0,0
